id,status,Creativity,Technical Skills,Project Management,Documentation,Presentation,Overall Score
1,Reviewed,5,4,3,5,5,8.8
2,Reviewed,5,5,5,5,2,8.8
3,Reviewed,3,1,3,1,4,4.8
4,Reviewed,1,3,5,5,4,7.2
5,Reviewed,1,4,2,4,5,6.4
6,Reviewed,5,5,4,4,2,8.0
7,Reviewed,2,4,5,5,2,7.2
8,Reviewed,5,4,3,5,1,7.2
9,Reviewed,3,4,5,3,2,6.8
10,Reviewed,4,3,3,5,5,8.0
11,Reviewed,2,4,4,3,1,5.6
12,Reviewed,5,2,2,4,3,6.4
13,Reviewed,1,4,4,2,2,5.2
14,Reviewed,3,5,1,2,1,4.8
15,Reviewed,5,3,3,2,1,5.6
16,Reviewed,1,5,3,1,5,6.0
17,Reviewed,3,4,5,3,2,6.8
18,Reviewed,2,5,5,1,1,5.6
19,Reviewed,3,3,5,3,4,7.2
20,Reviewed,1,5,5,3,1,6.0
21,Reviewed,5,5,2,2,2,6.4
22,Reviewed,4,2,4,3,2,6.0
23,Reviewed,5,1,2,3,4,6.0
24,Reviewed,2,5,2,3,4,6.4
25,Reviewed,4,3,2,3,3,6.0
26,Reviewed,5,1,3,4,1,5.6
27,Reviewed,5,3,3,5,3,7.6
28,Reviewed,3,5,3,5,2,7.2
29,Reviewed,5,5,5,3,4,8.8
30,Reviewed,4,3,3,3,4,6.8
31,Reviewed,5,1,3,3,4,6.4
32,Reviewed,2,3,3,1,1,4.0
33,Reviewed,2,1,4,2,4,5.2
34,Reviewed,4,2,3,1,3,5.2
35,Reviewed,4,1,3,1,1,4.0
36,Reviewed,3,4,4,5,1,6.8
37,Reviewed,2,5,4,3,3,6.8
38,Reviewed,1,5,1,5,4,6.4
39,Reviewed,4,4,1,5,1,6.0
40,Reviewed,4,4,4,1,4,6.8
41,Reviewed,2,1,3,2,5,5.2
42,Reviewed,1,2,4,2,3,4.8
43,Reviewed,1,1,3,1,4,4.0
44,Reviewed,4,3,4,5,5,8.4
45,Reviewed,5,1,2,5,5,7.2
46,Reviewed,1,5,1,4,4,6.0
47,Reviewed,4,5,2,2,5,7.2
48,Reviewed,3,2,1,3,4,5.2
49,Reviewed,1,4,5,2,4,6.4
50,Reviewed,2,5,2,3,1,5.2
51,Reviewed,3,1,2,5,2,5.2
52,Reviewed,4,1,5,3,5,7.2
53,Reviewed,3,3,5,2,4,6.8
54,Reviewed,3,1,1,4,3,4.8
55,Reviewed,5,5,5,1,1,6.8
56,Reviewed,5,1,3,2,4,6.0
57,Reviewed,5,5,3,2,5,8.0
58,Reviewed,2,3,3,2,3,5.2
59,Reviewed,3,2,4,5,5,7.6
60,Reviewed,1,5,3,2,3,5.6
61,Reviewed,3,3,3,3,5,6.8
62,Reviewed,5,2,4,2,4,6.8
63,Reviewed,4,4,3,5,2,7.2
64,Reviewed,4,4,4,3,5,8.0
65,Reviewed,2,3,2,4,1,4.8
66,Reviewed,3,3,3,5,5,7.6
67,Reviewed,5,3,1,2,5,6.4
68,Reviewed,5,4,1,3,5,7.2
69,Reviewed,4,3,5,1,3,6.4
70,Reviewed,2,1,5,3,3,5.6
71,Reviewed,3,2,4,3,4,6.4
72,Reviewed,2,1,1,5,1,4.0
73,Reviewed,5,5,4,2,2,7.2
74,Reviewed,1,5,3,2,5,6.4
75,Reviewed,1,1,4,5,1,4.8
76,Reviewed,3,4,2,2,2,5.2
77,Reviewed,3,4,2,5,1,6.0
78,Reviewed,4,4,2,4,5,7.6
79,Reviewed,2,1,4,5,2,5.6
80,Reviewed,3,1,2,3,5,5.6
81,Reviewed,4,4,3,2,2,6.0
82,Reviewed,5,1,3,2,1,4.8
83,Reviewed,5,4,3,5,2,7.6
84,Reviewed,2,4,2,2,1,4.4
85,Reviewed,2,5,3,2,5,6.8
86,Reviewed,2,2,5,4,2,6.0
87,Reviewed,4,1,1,5,1,4.8
88,Reviewed,4,5,4,3,2,7.2
89,Reviewed,4,5,3,2,3,6.8
90,Reviewed,1,4,5,4,3,6.8
91,Reviewed,2,3,4,4,4,6.8
92,Reviewed,1,3,2,2,2,4.0
93,Reviewed,2,1,3,1,2,3.6
94,Reviewed,5,5,3,3,3,7.6
95,Reviewed,2,4,4,5,1,6.4
96,Reviewed,4,5,1,4,5,7.6
97,Reviewed,2,3,2,2,2,4.4
98,Reviewed,1,4,2,3,4,5.6
99,Reviewed,2,2,5,5,3,6.8
100,Reviewed,4,4,5,1,2,6.4
101,Reviewed,1,1,3,3,2,4.0
102,Reviewed,1,5,3,5,5,7.6
103,Reviewed,1,1,3,2,1,3.2
104,Reviewed,2,1,1,3,3,4.0
105,Reviewed,3,5,3,1,3,6.0
106,Reviewed,1,4,4,3,5,6.8
107,Reviewed,2,5,1,4,4,6.4
108,Reviewed,4,4,5,5,4,8.8
109,Reviewed,5,1,3,2,5,6.4
110,Reviewed,2,1,1,4,5,5.2
111,Reviewed,2,5,3,4,1,6.0
112,Reviewed,3,1,3,3,4,5.6
113,Reviewed,2,5,4,5,1,6.8
114,Reviewed,3,4,1,2,2,4.8
115,Reviewed,4,2,1,4,4,6.0
116,Reviewed,3,2,5,2,5,6.8
117,Reviewed,4,1,5,1,3,5.6
118,Reviewed,1,1,3,5,1,4.4
119,Reviewed,3,4,1,1,1,4.0
120,Reviewed,5,1,3,2,4,6.0
121,Reviewed,2,4,1,4,4,6.0
122,Reviewed,1,5,4,2,2,5.6
123,Reviewed,2,5,1,3,5,6.4
124,Reviewed,4,4,2,3,5,7.2
125,Reviewed,4,4,2,4,3,6.8
126,Reviewed,3,5,1,3,4,6.4
127,Reviewed,3,2,4,4,2,6.0
128,Reviewed,5,2,4,1,4,6.4
129,Reviewed,4,1,5,3,3,6.4
130,Reviewed,5,2,3,4,4,7.2
131,Reviewed,2,1,2,4,4,5.2
132,Reviewed,4,1,5,4,5,7.6
133,Reviewed,1,3,2,4,5,6.0
134,Reviewed,5,1,2,4,3,6.0
135,Reviewed,1,3,4,5,4,6.8
136,Reviewed,2,4,2,5,4,6.8
137,Reviewed,2,2,1,5,1,4.4
138,Reviewed,5,2,1,2,3,5.2
139,Reviewed,3,1,3,4,1,4.8
140,Reviewed,4,1,2,2,5,5.6
